Keyword,Total Citations
nan,323
sustainable packaging,305
biopolymer,261
biodiesel,257
lignin properties,234
lignin utilization,234
technical lignin,234
active packaging,203
polymer composites,191
polymers,172
spent coffee grounds,168
deep learning,167
biocomposites,166
intelligent packaging,159
crude glycerol,159
artificial intelligence (ai),153
hydrogen energy,153
energy optimisation,153
grid resilience,153
policy and regulation,153
smart grid integration,153
green extraction,153
green chemicals,148
functional compounds,148
biofuel,148
biocomposite,140
sustainability,131
biofiller,130
machine learning,128
thermal stability,116
tga,116
functionalized nanocellulose,116
biopolymers,112
waste to energy,106
sustainable materials,106
physicochemical properties,105
sugar palm fiber,105
modulus,105
dma,105
nanocellulose,104
microfiller,101
natural fibre,98
antioxidant activity,96
biomaterials,95
biological treatment,92
macroporous resin,92
fermentation,92
microplastics,91
adsorption,89
lactic acid bacteria,88
transesterification,88
feedstock,86
interactions,85
cellulose,84
compatibility,83
agriculture,80
wrf model,80
parameterization,80
bias correction,80
probiotics,78
phbv,78
yield prediction,75
oil palm,75
sago starch,74
thermal,74
biofilm,74
cellulose nanofiber,74
bioaerogel,73
lentil proteins,73
capturing,73
colloidal,73
surfaces,73
rubber wood sawdust,72
pleurotus ostreatus,72
bio-composite,72
spent coffee ground,72
fire resistance,72
flammability,72
mycelium,72
encapsulation,71
essential oil,69
bast fiber nonwoven,66
food preservation,66
mechanical properties,66
chemical modification,66
digestibility,65
high-hydrostatic pressure,64
nanocomposites,63
biochar,62
water solubility,61
flavonoids,61
soxhlet extraction,60
in-vitro digestibility,60
renewable energy,59
microalgae,59
biodegradability,58
scenedesmus parvus algae,58
biopolymer composites,58
sustainable utilization,58
white tea,57
edible coating,57
aerogel,56
celastrol,56
extraction,56
optimization,55
whey proteins,55
ultrasonication,54
reinforcement,54
ulva lactuca,54
adsorption characteristics,54
desorption,54
food safety,53
complexation,53
supercritical co2,52
nanoemulsion,52
antibacterial,52
coffee waste,51
recycling waste,51
protein structure,51
biomass,51
whey protein isolate,49
wastewater,49
palm kernel shell,49
freshness monitoring,48
intelligent film,48
trehalose,48
third oil generation,48
waste frying oil,48
azolla filiculoides,48
emerging pollutants,48
semi-refined carrageenan,48
hybrid composites,47
antimicrobial,47
municipal solid waste,46
conjugation,46
kombucha,46
photocatalysis,45
purification,45
humic acid,44
tropical fruit,44
kenaf,44
diabetes,44
cellulose derivatives,44
fruit peel,44
polymer matrix composites,43
glass,43
gasification,43
2,43
fenugreek,42
bioactive profile,42
plant-based bioactive ingredients,42
multifunctional foods,42
nutraceuticals,42
production,42
polymer blend,42
chitosan,42
environmental applications,41
modification,41
applications,41
biomass conversion,41
biofabrication challenges,40
failure factors,40
clean fermentation,40
metabolome,40
microbial identification,40
symbiosis,40
mycelium composites,40
flavonoid,40
eggplant anthocyanins,39
chicken fillets,39
chitosan films,39
deep eutectic solvent,39
functionalization,39
oliveria decumbens,39
carboxymethyl cellulose,38
wastes,38
reuse,38
low-grade chronic inflammation,38
natural fibers,38
thermoplastic elastomer,38
therapeutic potential,38
thermal insulation,38
obesity,38
oxidative stability,37
sustainable development,37
toxicity,37
membrane,37
plant-based proteins,37
bioaerogels,36
sorption,36
oil spill,36
green materials,36
modification technique,36
disaccharide,35
bioethanol,35
circular bioeconomy,35
ganoderma lucidum,35
zataria multiflora boiss,35
tarragon,35
potato strips,35
acrylamide,35
oil uptake,35
eco-friendly,35
total soluble solids,34
enzymolysis,34
cell wall,34
environmental application,34
metal oxide,34
yeast extract,34
metabolite,33
shelf life,33
bionanocomposite,33
complex coacervation,33
animal-based proteins,33
functional food industries,33
sodium alginate,32
glycerol,32
biogas,32
solubility,32
magnetic graphene oxide,31
3d printing,31
sample preparation,31
solid phase extraction,31
health care,31
bioremediation,31
trimetallic nanoparticles,31
magnetic nanoparticles (mnps),31
hydrophobicity,30
anhydride modification,30
fish waste oil,30
oil extraction,30
film,30
energy consumption,30
lignocellulosic biomass,30
waste management,30
antioxidant,29
heavy metal,29
casein proteins,29
phenol,29
raw seaweed,28
syngas,28
durian,28
anaerobic digestion,28
polyhydroxybutyrate,28
