Keyword,Publication Count
biopolymer,31
sustainability,25
sustainable packaging,21
fermentation,19
sustainable materials,16
nanocellulose,14
probiotics,14
microalgae,14
biodiesel,13
nanocomposites,13
cellulose,13
spent coffee grounds,12
antimicrobial,12
cellulose nanofiber,12
biofilm,12
biopolymers,12
renewable energy,12
biocomposites,11
biofuel,11
antioxidant,11
machine learning,11
biomaterials,11
polymer composites,11
biofiller,10
sago starch,10
bioremediation,10
climate change,10
bacillus subtilis,10
circular economy,10
deep learning,10
physicochemical properties,10
adsorption,9
bioethanol,9
antioxidant activity,9
encapsulation,9
biomass,9
probiotic,9
mechanical properties,9
bioaerogel,9
lactic acid bacteria,9
microplastics,9
sustainable development,8
circular bioeconomy,8
activated carbon,8
biochar,8
livelihood strategies,8
glutaric acid,8
chitosan,8
essential oil,8
optimization,8
biocomposite,8
semi-refined carrageenan,8
biosynthesis of polymers,8
toxicity,8
waste valorization,8
3d printing,8
agriculture,7
response surface methodology,7
waste management,7
polyhydroxybutyrate,7
compatibility,7
biological treatment,7
shelf life,7
extraction,7
pumping well yield,6
antibacterial,6
thermosets,6
polymer blend,6
microfiller,6
plastic waste,6
groundwater sustainability,6
flammability,6
ultrasonication,6
resins,6
aerogel,6
transesterification,6
natural fibre,6
biomass conversion,6
pollution,6
biopolymers and renewable polymers,6
reinforcement,6
food security,6
hydrogel,6
azelaic acid,6
spent coffee ground,6
celastrol,6
palm kernel shell,6
succinic acid,6
lignocellulosic biomass,6
inflammation,6
carbonization,6
nanoemulsion,5
enzymatic hydrolysis,5
gut microbiota,5
emulsion,5
high-hydrostatic pressure,5
hybrid,5
hydrophobicity,5
food safety,5
fatty acid,5
oil palm trunk,5
oxidation,5
principal component analysis,5
indoor air quality,5
dma,5
children,5
emulsification,5
lactiplantibacillus plantarum,5
energy efficiency,5
glucose yield,5
marine,5
polymers,5
emerging contaminants,5
carboxymethyl cellulose,5
production,5
yield prediction,5
wastewater,5
oil palm,5
purification,5
photocatalysis,5
enterocin cc2,5
streptococcus mutans,5
packaging,5
small-scale fisheries,5
environment,5
cytotoxicity,5
thermal,5
sustainable coastal management,4
artificial intelligence,4
green technology,4
chicken manure,4
coastal reclamation,4
livelihood assets,4
resilience,4
food preservation,4
raw seaweed,4
antibacterial activity,4
chemical risk,4
cellulose derivatives,4
conjugation,4
natural waste fiber,4
anhydride modification,4
fire resistance,4
soxhlet extraction,4
waste to energy,4
environmental sustainability,4
water treatment,4
palm kernel shells,4
thermal insulation,4
coastal fisheries,4
coastal development,4
bioprocess,4
enzymatic,4
antimicrobial resistance (amr),4
analysis,4
nutrient removal,4
wastewater treatment,4
melamine,4
morphology,4
in-vitro digestibility,4
woven carbon fibre,4
woven bamboo fibre,4
sustainable agriculture,4
degradation,4
waste generation,4
triethoxymethylsilane,4
nutrient,4
papaya juice,4
tropical fruit,4
thermal properties,4
bioceramic,4
diabetic nephropathy,4
respiratory tract infections,4
simple two-step enrichment,4
sorbic acid,4
type ii methanotrophs,4
dewatered sludge,4
bioplastics,4
agriculture waste,4
bioadsorbent,4
molecular docking,4
municipal solid waste,4
seaweed,4
oil palm sap,4
biogas valorization,4
pyrolysis,4
sustainable livelihoods,4
oil palm biomass,4
texture,4
durian,4
silica nanoparticle,4
health,4
pathogenic bacteria,4
chemical health risk assessment,4
spent oil,4
iaq,4
digestibility,4
